tool,lexicon,items,operation,seconds,sample_size,run
fastlex,testlex,18,identicals_ph,0.000002,,
fastlex,testlex,18,cohorts_ph,0.000028,,
fastlex,testlex,18,dels_ph,0.050752,,
fastlex,testlex,18,adds_ph,0.050752,,
fastlex,testlex,18,subs_ph,0.000178,,
fastlex,testlex,18,nohorts_ph,0.000093,,
fastlex,testlex,18,dims_ph,0.051692,,
fastlex,testlex,18,identicals_or,0.000001,,
fastlex,testlex,18,cohorts_or,0.000010,,
fastlex,testlex,18,dels_or,0.000108,,
fastlex,testlex,18,adds_or,0.000108,,
fastlex,testlex,18,subs_or,0.000104,,
fastlex,testlex,18,nohorts_or,0.000066,,
fastlex,testlex,18,dims_or,0.000462,,
fastlex,testlex,18,oldk_or,0.002378,,
fastlex,testlex,18,old_count_or,0.001237,,
fastlex,testlex,18,old_parts_or,0.000028,,
fastlex,testlex,18,pldk_ph,0.001808,,
fastlex,testlex,18,pld_count_ph,0.001064,,
fastlex,testlex,18,pld_parts_ph,0.000028,,
fastlex,testlex,18,ups_or,0.000261,,
fastlex,testlex,18,ups_ph,0.000151,,
fastlex,testlex,18,all,0.071527,,
